year,general,defence,finance,trade_industry,manpower,education,transport,national_development,health,sustainability_environment,social_family_development,home_affairs,foreign_affairs,communications_information,culture_community_youth,law
1970,26.981707317073173,25.45731707317073,5.640243902439025,7.01219512195122,4.115853658536586,9.603658536585366,2.4390243902439024,5.335365853658536,0.7621951219512195,3.048780487804878,0.6097560975609756,2.591463414634146,1.8292682926829267,2.7439024390243905,1.0670731707317074,0.7621951219512195
1971,25.80152671755725,23.969465648854964,7.480916030534352,8.854961832061068,3.0534351145038165,6.412213740458015,6.106870229007633,3.969465648854962,2.7480916030534353,0.3053435114503817,0.45801526717557256,3.3587786259541987,2.7480916030534353,2.595419847328244,1.6793893129770994,0.45801526717557256
1972,20.60810810810811,22.972972972972975,11.824324324324325,11.993243243243242,3.7162162162162162,4.222972972972973,3.7162162162162162,4.222972972972973,1.6891891891891893,3.5472972972972974,0.6756756756756757,3.7162162162162162,2.7027027027027026,3.040540540540541,1.1824324324324325,0.16891891891891891
1973,26.666666666666668,19.019607843137255,12.745098039215685,15.294117647058824,5.490196078431373,5.098039215686274,2.3529411764705883,3.5294117647058822,1.1764705882352942,1.5686274509803921,0.5882352941176471,1.9607843137254901,2.7450980392156863,0.7843137254901961,0.5882352941176471,0.39215686274509803
1974,22.418478260869566,20.516304347826086,9.918478260869565,10.46195652173913,6.7934782608695645,5.706521739130435,3.532608695652174,11.684782608695652,1.358695652173913,2.1739130434782608,0.1358695652173913,2.0380434782608696,2.4456521739130435,0.8152173913043478,0.0,0.0
1975,25.882352941176475,18.823529411764707,13.725490196078432,9.411764705882353,12.941176470588237,1.5686274509803921,3.5294117647058822,3.1372549019607843,1.1764705882352942,0.39215686274509803,0.39215686274509803,3.1372549019607843,2.7450980392156863,2.3529411764705883,0.7843137254901961,0.0
1976,28.413284132841326,20.66420664206642,11.439114391143912,8.856088560885608,6.642066420664207,5.535055350553505,4.428044280442804,3.6900369003690034,1.107011070110701,1.4760147601476015,0.0,1.8450184501845017,3.6900369003690034,1.107011070110701,1.107011070110701,0.0
1977,27.165354330708663,16.535433070866144,16.141732283464567,9.05511811023622,6.692913385826772,3.149606299212598,1.1811023622047243,7.874015748031496,0.7874015748031495,0.7874015748031495,0.39370078740157477,2.7559055118110236,5.905511811023622,1.574803149606299,0.0,0.0
1978,23.676880222841227,22.841225626740947,20.055710306406684,13.370473537604457,4.456824512534819,2.2284122562674096,2.2284122562674096,3.8997214484679668,0.0,0.0,1.1142061281337048,1.392757660167131,3.3426183844011144,1.1142061281337048,0.0,0.2785515320334262
1979,29.10958904109589,14.726027397260275,16.095890410958905,11.301369863013697,7.876712328767123,4.10958904109589,1.7123287671232876,5.136986301369863,0.3424657534246575,0.3424657534246575,0.0,2.3972602739726026,4.10958904109589,2.054794520547945,0.684931506849315,0.0
1980,25.0,14.959016393442623,22.540983606557376,13.114754098360656,7.377049180327869,3.483606557377049,1.4344262295081966,3.8934426229508197,0.6147540983606558,0.819672131147541,0.6147540983606558,1.639344262295082,3.0737704918032787,1.0245901639344261,0.4098360655737705,0.0
1981,20.12847965738758,16.916488222698074,23.768736616702355,13.062098501070663,7.494646680942184,2.9978586723768736,2.9978586723768736,3.4261241970021414,0.21413276231263384,1.7130620985010707,0.8565310492505354,2.569593147751606,2.141327623126338,1.070663811563169,0.6423982869379015,0.0
1982,22.26277372262774,20.802919708029197,14.5985401459854,10.036496350364963,8.75912408759124,6.021897810218978,3.102189781021898,4.927007299270073,0.5474452554744526,1.094890510948905,2.5547445255474455,0.9124087591240875,2.3722627737226274,1.4598540145985401,0.5474452554744526,0.0
